Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
525102833,80 backers,39 backers,37 backers,23 backers,8 backers,10 backers,3 backers,7 backers,4 backers,4 backers,0 backers,,,,,,,,,
2030937147,0 backers,0 backers,1 backer,0 backers,0 backers,0 backers,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1148384177,0 backers,0 backers,0 backers,0 backers,1 backer,0 backers,,,,,,,,,,,,,,
1047480370,12 backers,38 backers,23 backers,5 backers,1 backer,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1988172866,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,
1221761423,0 backers,1 backer,2 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
304806275,2 backers,1 backer,0 backers,1 backer,0 backers,7 backers,1 backer,3 backers,1 backer,5 backers,1 backer,,,,,,,,,
1855197751,17 backers,10 backers,13 backers,7 backers,5 backers,2 backers,5 backers,6 backers,1 backer,5 backers,1 backer,1 backer,5 backers,3 backers,0 backers,0 backers,0 backers,0 backers,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
525102833,80 backers,39 backers,37 backers,23 backers,8 backers,10 backers,3 backers,7 backers,4 backers,4 backers,0 backers,,,,,,,,,
2030937147,0 backers,0 backers,1 backer,0 backers,0 backers,0 backers,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1148384177,0 backers,0 backers,0 backers,0 backers,1 backer,0 backers,,,,,,,,,,,,,,
1047480370,12 backers,38 backers,23 backers,5 backers,1 backer,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1988172866,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,
1221761423,0 backers,1 backer,2 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
304806275,2 backers,1 backer,0 backers,1 backer,0 backers,7 backers,1 backer,3 backers,1 backer,5 backers,1 backer,,,,,,,,,
1855197751,17 backers,10 backers,13 backers,7 backers,5 backers,2 backers,5 backers,6 backers,1 backer,5 backers,1 backer,1 backer,5 backers,3 backers,0 backers,0 backers,0 backers,0 backers,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1648780393,2 backers,3 backers,,,,,,,,,,,,,,,,,,
1439806778,12 backers,872 backers,10 backers,2 backers,500 backers,"1,000 backers","2,638 backers",37 backers,42 backers,283 backers,85 backers,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1983725170,1 backer,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,
721682358,0 backers,1 backer,1 backer,,,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1408201666,0 backers,18 backers,24 backers,24 backers,11 backers,26 backers,7 backers,3 backers,3 backers,,,,,,,,,,,
