Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
525102833,,,,,,,,,,,0,,,,,,,,,
2030937147,,,,,,0,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1148384177,,,,,,0,,,,,,,,,,,,,,
1047480370,,,,,0,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1988172866,,,,0,,,,,,,,,,,,,,,,
1221761423,,,,,,,0,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
304806275,,,,,,Limited (23 left of 30),,Limited (17 left of 20),Limited (19 left of 20),Limited (15 left of 20),0,,,,,,,,,
1855197751,,,Limited (7 left of 20),Limited (143 left of 150),Limited (9 left of 14),Limited (13 left of 15),Limited (10 left of 15),Limited (8 left of 14),Limited (19 left of 20),Limited (35 left of 40),Limited (19 left of 20),Limited (24 left of 25),Limited (5 left of 10),Limited (27 left of 30),Limited (1 left of 1),,Limited (2 left of 2),0,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
525102833,,,,,,,,,,,0,,,,,,,,,
2030937147,,,,,,0,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1148384177,,,,,,0,,,,,,,,,,,,,,
1047480370,,,,,0,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1988172866,,,,0,,,,,,,,,,,,,,,,
1221761423,,,,,,,0,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
304806275,,,,,,Limited (23 left of 30),,Limited (17 left of 20),Limited (19 left of 20),Limited (15 left of 20),0,,,,,,,,,
1855197751,,,Limited (7 left of 20),Limited (143 left of 150),Limited (9 left of 14),Limited (13 left of 15),Limited (10 left of 15),Limited (8 left of 14),Limited (19 left of 20),Limited (35 left of 40),Limited (19 left of 20),Limited (24 left of 25),Limited (5 left of 10),Limited (27 left of 30),Limited (1 left of 1),,Limited (2 left of 2),0,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1648780393,,0,,,,,,,,,,,,,,,,,,
1439806778,,Limited (128 left of 1000),,,,,Limited (362 left of 3000),Limited (2963 left of 3000),,,0,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1983725170,,,,,,Limited (4 left of 4),0,,,,,,,,,,,,,
721682358,,,0,,,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1408201666,,,,,Limited (39 left of 50),,,,0,,,,,,,,,,,
393021228,,,,,,,,,,0,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1477615144,,,,,,0,,,,,,,,,,,,,,
1740061658,,,,,0,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1764907237,,,,,,Limited (20 left of 20),Limited (10 left of 10),0,,,,,,,,,,,,
851102310,,0,,,,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1355380107,,,,,,,0,,,,,,,,,,,,,
597688482,,,,,,,,,,Limited (10 left of 10),,Limited (10 left of 10),,0,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
755515960,,,,,,,,,,,,,,,0,,,,,
791868885,Limited (10 left of 15),Limited (4 left of 10),Limited (6 left of 10),,,0,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1086452176,Limited (21 left of 30),Limited (21 left of 25),Limited (17 left of 20),0,,,,,,,,,,,,,,,,
1491773368,,,,,,,0,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
952924582,,,,,,,,0,,,,,,,,,,,,
718761061,,,0,,,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
94525752,,Limited (47 left of 50),Limited (23 left of 25),Limited (15 left of 15),Limited (15 left of 15),0,,,,,,,,,,,,,,
726089852,,,,0,,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
221307125,,,,,,,,0,,,,,,,,,,,,
1092471577,,,,,,,,,,,0,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1611025909,,,,,,,,,,Limited (9 left of 12),Limited (3 left of 3),0,,,,,,,,
1152455620,,,,,,,Limited (15 left of 15),Limited (10 left of 10),0,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1518506560,,0,,,,,,,,,,,,,,,,,,
1974239802,,,,,,0,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1064897814,,,Limited (5 left of 20),Limited (1 left of 10),Limited (2 left of 5),Limited (2 left of 2),0,,,,,,,,,,,,,
731606882,,,Limited (200 left of 200),Limited (199 left of 200),Limited (30 left of 30),Limited (19 left of 20),Limited (10 left of 10),Limited (8 left of 8),0,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1680608346,,,,,,,,,,,0,,,,,,,,,
818758141,,0,,,,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1693358327,,,,,0,,,,,,,,,,,,,,,
2120846286,,,,Limited (100 left of 100),Limited (99 left of 100),Limited (10 left of 10),Limited (10 left of 10),0,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
525102833,,,,,,,,,,,0,,,,,,,,,
2030937147,,,,,,0,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1148384177,,,,,,0,,,,,,,,,,,,,,
1047480370,,,,,0,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1988172866,,,,0,,,,,,,,,,,,,,,,
1221761423,,,,,,,0,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
304806275,,,,,,Limited (23 left of 30),,Limited (17 left of 20),Limited (19 left of 20),Limited (15 left of 20),0,,,,,,,,,
1855197751,,,Limited (7 left of 20),Limited (143 left of 150),Limited (9 left of 14),Limited (13 left of 15),Limited (10 left of 15),Limited (8 left of 14),Limited (19 left of 20),Limited (35 left of 40),Limited (19 left of 20),Limited (24 left of 25),Limited (5 left of 10),Limited (27 left of 30),Limited (1 left of 1),,Limited (2 left of 2),0,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1648780393,,0,,,,,,,,,,,,,,,,,,
1439806778,,Limited (128 left of 1000),,,,,Limited (362 left of 3000),Limited (2963 left of 3000),,,0,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
525102833,,,,,,,,,,,0,,,,,,,,,
2030937147,,,,,,0,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1148384177,,,,,,0,,,,,,,,,,,,,,
1047480370,,,,,0,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1988172866,,,,0,,,,,,,,,,,,,,,,
1221761423,,,,,,,0,,,,,,,,,,,,,
