Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
525102833,$150,$190,$200,$240,$250,$300,$350,$390,$400,$440,"$1,000",,,,,,,,,
2030937147,£21,£35,£55,£70,£100,£500,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1148384177,$25,$50,$75,$100,$125,"$1,000",,,,,,,,,,,,,,
1047480370,$10,$25,$100,$500,"$1,000",,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1988172866,£20,£35,£100,£130,,,,,,,,,,,,,,,,
1221761423,$10,$30,$100,$500,"$1,000","$5,000","$10,000",,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
304806275,£5,£10,£15,£20,£35,£50,£60,£100,£200,£300,"£1,000",,,,,,,,,
1855197751,$5,$20,$30,$40,$50,$50,$50,$50,$75,$100,$150,$200,$350,$450,$450,"$1,000","$2,200","$10,000",,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
525102833,$150,$190,$200,$240,$250,$300,$350,$390,$400,$440,"$1,000",,,,,,,,,
2030937147,£21,£35,£55,£70,£100,£500,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1148384177,$25,$50,$75,$100,$125,"$1,000",,,,,,,,,,,,,,
1047480370,$10,$25,$100,$500,"$1,000",,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1988172866,£20,£35,£100,£130,,,,,,,,,,,,,,,,
1221761423,$10,$30,$100,$500,"$1,000","$5,000","$10,000",,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
304806275,£5,£10,£15,£20,£35,£50,£60,£100,£200,£300,"£1,000",,,,,,,,,
1855197751,$5,$20,$30,$40,$50,$50,$50,$50,$75,$100,$150,$200,$350,$450,$450,"$1,000","$2,200","$10,000",,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1648780393,$25,$50,,,,,,,,,,,,,,,,,,
1439806778,$5,$10,$29,$49,$129,$139,$149,$159,$189,$279,$499,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1983725170,$5,$10,$15,$20,$25,$50,$100,,,,,,,,,,,,,
721682358,$10,$25,$50,,,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1408201666,$2,$5,$20,$30,$30,$50,$200,$500,"$1,000",,,,,,,,,,,
393021228,$1,$15,$30,$50,$100,$250,$500,"$1,500","$5,000","$9,500",,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1477615144,$1,$5,$10,$25,$50,$100,,,,,,,,,,,,,,
1740061658,$1,$10,$20,$35,$100,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1764907237,$5,$10,$25,$50,$75,$150,$300,"$1,500",,,,,,,,,,,,
851102310,$5,$25,,,,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1355380107,$10,$25,$50,$100,$250,$500,"$1,000",,,,,,,,,,,,,
597688482,$10,$25,$50,$75,$100,$250,$350,$500,$600,$800,"$1,000","$3,000","$3,500","$10,000",,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
755515960,£2,£3,£4,£5,£6,£10,£15,£16,£20,£20,£35,£40,£45,£100,£150,,,,,
791868885,$10,$25,$50,$100,$250,$500,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1086452176,$50,$100,$200,$500,,,,,,,,,,,,,,,,
1491773368,$5,$20,$25,$50,$100,$150,$250,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
952924582,$10,$15,$20,$30,$40,$40,$50,$125,,,,,,,,,,,,
718761061,$10,$25,$100,,,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
94525752,£5,£10,£30,£75,£115,"£1,250",,,,,,,,,,,,,,
726089852,$1,$5,$25,$110,,,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
221307125,$1,$10,$25,$50,$100,$250,$500,"$1,000",,,,,,,,,,,,
1092471577,$1,$10,$25,$50,$125,$250,$500,"$1,000","$2,500","$5,000","$10,000",,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1611025909,$5,$14,$16,$30,$35,$45,$55,$75,$100,$275,$600,"$1,000",,,,,,,,
1152455620,$1,$5,$10,$15,$25,$35,$50,$100,$150,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1518506560,$100,$500,,,,,,,,,,,,,,,,,,
1974239802,$5,$20,$35,$55,$200,$800,,,,,,,,,,,,,,
Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1064897814,$10,$25,$30,$50,$100,$250,$300,,,,,,,,,,,,,
731606882,$1,$2,$10,$20,$25,$30,$50,$100,$200,,,,,,,,,,,
